epoch,accuracy,loss,val_accuracy,val_loss
8,0.8651999831199646,0.30416175723075867,0.8018331527709961,0.4584181606769562
9,0.8712999820709229,0.29439276456832886,0.7845457792282104,0.4482806324958801
10,0.8741499781608582,0.2851881980895996,0.8028773665428162,0.4652439057826996
11,0.8812000155448914,0.2775785028934479,0.7752639651298523,0.4650205075740814
12,0.8824999928474426,0.2713048756122589,0.7987005710601807,0.4806516766548157
13,0.8842499852180481,0.26638126373291016,0.7999767661094666,0.46544545888900757
14,0.8857499957084656,0.25938600301742554,0.7967281341552734,0.4674000144004822
15,0.8862500190734863,0.2564879357814789,0.7912750840187073,0.46939510107040405
16,0.8891500234603882,0.24977917969226837,0.7628495097160339,0.4650477170944214
17,0.888450026512146,0.245583638548851,0.7880264520645142,0.45879706740379333
18,0.8913999795913696,0.2428983896970749,0.7976563572883606,0.46637558937072754
